Отметка времени,Насколько щека шершавая?,Чем брился?,Была ли пена?,Было ли средство после бритья?,Новое лезвие сегодня?,,Blade_use(raw),Blade_use,Times_in_a_row,,,,,,,,
06.04.2020 9:43:17,4,Электробритва роторная,Да,Нет,,,0,0,1,,,,,,Чем брился?,Была ли пена?,AVERAGE из Насколько щека шершавая?
07.04.2020 8:26:38,2,Т-образный станок,Да,Нет,,,1,1,1,,,,,,Т-образный станок,Да,"1,375"
08.04.2020 9:02:56,1,Электробритва роторная,Да,Нет,,,0,0,1,,4,2,"0,08808648436",,Всего (Т-образный станок),,"1,375"
09.04.2020 8:33:27,1,Электробритва роторная,Да,Нет,,,0,0,2,,1,1,,,Электробритва роторная,Да,2
10.04.2020 8:30:13,2,Электробритва роторная,Нет,Нет,,,0,0,3,,1,1,,,,Нет,"2,25"
11.04.2020 12:20:31,1,Т-образный станок,Да,Да,,,2,2,1,,2,1,,,Всего (Электробритва роторная),,"2,142857143"
12.04.2020 9:28:01,3,Электробритва роторная,Нет,Нет,,,0,0,1,,3,1,,,Итого,,"1,733333333"
13.04.2020 8:58:53,2,Электробритва роторная,Нет,Нет,,,0,0,2,,2,1,,,,,
14.04.2020 9:05:39,2,Электробритва роторная,Нет,Нет,,,0,0,3,,2,1,,,,,
15.04.2020 9:01:13,1,Т-образный станок,Да,Нет,,,3,3,1,,,2,,,,,
16.04.2020 8:51:16,1,Т-образный станок,Да,Нет,,,4,4,2,,,2,,,,,
17.04.2020 8:48:28,1,Т-образный станок,Да,Нет,,,5,5,3,,,1,,,,,
20.04.2020 8:42:02,2,Т-образный станок,Да,Нет,,,7,7,4,,,,,,,,
21.04.2020 9:43:35,2,Т-образный станок,Да,Нет,,,1,1,5,,,,,,,,
22.04.2020 12:13:52,1,Т-образный станок,Да,Нет,,,2,2,6,,,,,,,,
23.04.2020 9:00:35,1,Т-образный станок,Да,Нет,,,3,3,7,,,,,,,,
25.04.2020 11:04:15,1,Т-образный станок,Да,Нет,,,4,4,8,,,,,,,,
26.04.2020 14:29:27,1,Т-образный станок,Да,Нет,,,5,5,9,,,,,,,,
27.04.2020 8:55:20,2,Т-образный станок,Да,Да,,,6,6,10,,,,,,,,
28.04.2020 9:02:17,2,Т-образный станок,Да,Нет,,,7,7,11,,,,,,,,
29.04.2020 12:11:20,4,Т-образный станок,Да,Нет,,,8,8,12,,,,,,,,
30.04.2020 11:22:55,3,Т-образный станок,Да,Нет,,,9,9,13,,,,,,,,
01.05.2020 17:06:30,3,Т-образный станок,Да,Нет,Да,,1,1,14,,,,,,,,
02.05.2020 16:17:46,3,Электробритва роторная,Нет,Нет,,,1,0,1,,,,,,,,
03.05.2020 11:40:32,2,Электробритва роторная,Да,Нет,,,1,0,2,,,,,,,,
04.05.2020 12:29:06,1,Электробритва роторная,Да,Да,,,1,0,3,,,,,,,,
05.05.2020 9:32:43,2,Т-образный станок,Да,Да,Нет,,2,2,1,,,,,,,,
06.05.2020 8:38:39,2,Т-образный станок,Да,Да,Нет,,3,3,2,,,,,,,,
07.05.2020 8:44:42,1,Т-образный станок,Да,Да,Нет,,4,4,3,,,,,,,,
08.05.2020 9:04:25,3,Электробритва роторная,Нет,Да,,,4,0,1,,,,,,,,
09.05.2020 8:51:34,1,Т-образный станок,Да,Нет,Нет,,5,5,1,,,,,,,,
10.05.2020 23:56:16,1,Т-образный станок,Да,Да,Нет,,6,6,2,,,,,,,,
11.05.2020 11:10:55,2,Электробритва роторная,Нет,Нет,,,6,0,1,,,,,,,,
12.05.2020 11:19:14,2,Электробритва роторная,Да,Нет,,,6,0,2,,,,,,,,
13.05.2020 9:19:39,1,Электробритва роторная,Да,Да,,,,,,,,,,,,,
14.05.2020 8:55:06,1,Электробритва роторная,Да,Да,,,,,,,,,,,,,
